"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes","spec_id","exp_id","run_id","remote_state","artifact_path","branch","commit_hash","next_action","updated_at"
"APPROVAL-01","P0","approval","research","冻结 paired E200 Spec","记录用户批准、9小时总 wall hard cap，以及所有终态结果强制保留和汇报。","Spec status=approved；9小时与结果保留条款均落盘且不改变成功/失败阈值。","manual","","","核对实现与批准 Spec 一致。","核对回退路径、证据与声明边界。","已完成","已完成","已完成","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E200-v1.md:1","depends_on:none;approval:user_explicit;wall_cap_hours:9;preserve_all_terminal_outcomes:true","TAUSB-SDH-E2E-V0-SPARSE-E200-v1","TAUSB-SDH-E2E-V0-S0-E200-SPARSE","SPARSE-E200-S0-R1","not_applicable","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E200-v1.md","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","CONTROLLER-EPOCHS-01","2026-08-12"
"CONTROLLER-EPOCHS-01","P0","implement","orchestration","参数化 sparse controller 与 binder 的 victim epochs","为现有 sparse E20 controller/binder 增加显式 victim_epochs=20|200，默认 E20 行为保持不变，E200 两臂绑定为200。","CLI→bound YAML→RunContext→train_victim→Ultralytics epochs sink 可追踪；E20 regression 不变；E200 C0/M1 均为200。","local_cli","karpathy-guidelines","","核对实现与批准 Spec 一致。","核对回退路径、证据与声明边界。","已完成","已完成","已完成","未提交","codex","ue_project/ue_framework/tools/run_tausb_sdh_sparse_e20.py:40;ue_project/ue_framework/tools/bind_tausb_sdh_e2e_v0.py:1","depends_on:APPROVAL-01;scientific_method_change:false;default_epochs:20;allowed_epochs:20,200;picked_reason:first_unfinished_P0_after_approved_spec;completion_evidence:implemented_and_focused_tests_passed","TAUSB-SDH-E2E-V0-SPARSE-E200-v1","TAUSB-SDH-E2E-V0-S0-E200-SPARSE","SPARSE-E200-S0-R1","not_applicable","ue_project/ue_framework/tools/run_tausb_sdh_sparse_e20.py","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","FRESH-INIT-01","2026-08-12"
"FRESH-INIT-01","P0","implement","training","记录并核对 fresh victim 初始 tensor hash","在构造 YOLO victim 后、训练前计算初始模型 tensor hash，C0/M1 必须相同，并证明不等于 surrogate checkpoint hash。","resume=false；两臂 init hash 相同且写入 status/train summary；surrogate checkpoint 不作为 victim 初始化。","local_cli","karpathy-guidelines","","核对实现与批准 Spec 一致。","核对回退路径、证据与声明边界。","已完成","已完成","已完成","未提交","codex","ue_project/ue_framework/stages/train_victim.py:200","depends_on:CONTROLLER-EPOCHS-01;fresh_pairing:true;surrogate_is_frozen_generation_model:true;completion_evidence:implemented_real_yolov8n_tensor_hash_probe_passed","TAUSB-SDH-E2E-V0-SPARSE-E200-v1","TAUSB-SDH-E2E-V0-S0-E200-SPARSE","SPARSE-E200-S0-R1","not_applicable","ue_project/ue_framework/stages/train_victim.py","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","STORAGE-GATE-01","2026-08-12"
"STORAGE-GATE-01","P0","implement","storage","强制所有增长型路径位于 AutoDL 数据盘","controller 校验 checkout、dataset、binding、control、logs、comparison、C0/M1 roots 与 cache/tmp 都在 /root/autodl-tmp 挂载设备；监控系统盘增长。","路径不在数据盘即训练前 fail closed；系统盘可用>=4GiB且阶段增长<=1GiB；数据盘满足投影+8GiB reserve。","local_cli","karpathy-guidelines","","核对实现与批准 Spec 一致。","核对回退路径、证据与声明边界。","已完成","已完成","已完成","未提交","codex","ue_project/ue_framework/tools/run_tausb_sdh_sparse_e20.py:98;research_workspace/experiments/TAUSB-SDH-E2E-V0-S0-E20-SPARSE/analysis/storage-audit-20260812.md:1","depends_on:FRESH-INIT-01;required_storage_root:/root/autodl-tmp;data_reserve_gib:8;system_free_min_gib:4;system_growth_max_gib:1;completion_evidence:implemented_data_disk_cache_tmp_and_system_disk_guards","TAUSB-SDH-E2E-V0-SPARSE-E200-v1","TAUSB-SDH-E2E-V0-S0-E200-SPARSE","SPARSE-E200-S0-R1","not_applicable","ue_project/ue_framework/tools/run_tausb_sdh_sparse_e20.py","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","RESULT-RETENTION-01","2026-08-12"
"RESULT-RETENTION-01","P0","implement","evidence","实现所有终态结果强制保留门禁","Success、Failure、Inconclusive、操作失败或超时均写 terminal status，并为已存在的 metrics/logs/partial artifacts 生成最小证据清单后关机。","科学判据失败不删除结果；compare 结论始终持久化；异常路径保留 status/log/partial metrics/reason；shutdown trap 在证据 flush 后执行。","local_cli","karpathy-guidelines","","核对实现与批准 Spec 一致。","核对回退路径、证据与声明边界。","已完成","已完成","已完成","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E200-v1.md:220;ue_project/ue_framework/tools/run_tausb_sdh_sparse_e20.py:1","depends_on:STORAGE-GATE-01;preserve_success:true;preserve_failure:true;preserve_inconclusive:true;preserve_operational_failure:true;completion_evidence:implemented_all_terminal_outcome_manifest","TAUSB-SDH-E2E-V0-SPARSE-E200-v1","TAUSB-SDH-E2E-V0-S0-E200-SPARSE","SPARSE-E200-S0-R1","not_applicable","ue_project/ue_framework/tools/run_tausb_sdh_sparse_e20.py","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","E200-WRAPPER-01","2026-08-12"
"E200-WRAPPER-01","P0","implement","remote","生成9小时 E200 单次 controller 与自动关机 wrapper","固定运行顺序、分阶段3.5小时上限、总 wall 9小时、10分钟无进度与20分钟异常诊断门禁，所有终态自动关机。","C0失败阻止M1；不resume；不覆盖E20；数据盘 fresh roots；结果 flush 先于 shutdown；命令可由 Spec/CSV 重建。","local_cli","karpathy-guidelines","","核对实现与批准 Spec 一致。","核对回退路径、证据与声明边界。","已完成","已完成","已完成","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E200-v1.md:155;research_workspace/experiments/TAUSB-SDH-E2E-V0-S0-E20-SPARSE/pre_run/sparse_e20_controller_data_disk_v2.sh:1","depends_on:RESULT-RETENTION-01;overall_wall_cap_seconds:32400;per_arm_cap_seconds:12600;idle_cap_seconds:600;bug_cap_seconds:1200;completion_evidence:implemented_nine_hour_shutdown_wrapper","TAUSB-SDH-E2E-V0-SPARSE-E200-v1","TAUSB-SDH-E2E-V0-S0-E200-SPARSE","SPARSE-E200-S0-R1","not_applicable","research_workspace/experiments/TAUSB-SDH-E2E-V0-S0-E200-SPARSE/pre_run","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","LOCAL-VALIDATION-01","2026-08-12"
"LOCAL-VALIDATION-01","P0","test","validation","运行 E200 参数链、数据盘、配对与终态保留回归","运行 focused tests、E20 regression、E200 config parse、Python3.8 AST/compile、CLI、Bash syntax、真实 VOC dataloader probe 和 diff 审计。","相关测试全部通过；机械证据不冒充E200训练结果；任何无法本地验证项记录 validation_gap。","local_cli","karpathy-guidelines","","核对实现与批准 Spec 一致。","核对回退路径、证据与声明边界。","已完成","已完成","已完成","未提交","codex","ue_project/tests/test_sdh_sparse_dataset.py:1;ue_project/tests:1","depends_on:E200-WRAPPER-01;claim:mechanical_only;picked_reason:implementation_rows_completed;tests:106_passed;python38_ast:pass;bash_n:pass;real_voc_loader:pass;real_yolov8n_init_hash:pass","TAUSB-SDH-E2E-V0-SPARSE-E200-v1","TAUSB-SDH-E2E-V0-S0-E200-SPARSE","SPARSE-E200-S0-R1","not_applicable","research_workspace/experiments/TAUSB-SDH-E2E-V0-S0-E200-SPARSE/pre_run/local_validation_20260812.md","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","GIT-SNAPSHOT-01","2026-08-12"
"GIT-SNAPSHOT-01","P0","git","versioning","创建并普通 push 精确 E200 执行快照","只显式 stage 本 Spec/CSV/review 与任务代码测试；不包含数据、权重、远程 artifacts、凭据或无关 dirty files。","提交可复现且远端同名分支解析为同一 SHA；不 force push；记录 exact commit。","local_cli","karpathy-guidelines","","核对实现与批准 Spec 一致。","核对回退路径、证据与声明边界。","进行中","未开始","未开始","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E200-v1.md:1","depends_on:LOCAL-VALIDATION-01;ordinary_non_force_push:true;unrelated_dirty_files:preserve;picked_reason:local_validation_passed","TAUSB-SDH-E2E-V0-SPARSE-E200-v1","TAUSB-SDH-E2E-V0-S0-E200-SPARSE","SPARSE-E200-S0-R1","not_applicable","","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","PRERUN-REVIEW-01","2026-08-12"
"PRERUN-REVIEW-01","P0","review","review","审查 exact E200 执行快照","独立核对 epochs 参数链、fresh init、P1/surrogate hashes、sparse data、VOC20 metrics、数据盘/成本/证据保留和关机路径。","结论必须 pass/allow_run 并记录 exact commit、command、tmux、roots、hashes、预算和 validation gaps，否则不得启动GPU。","manual","pre-run-implementation-review","","从落盘 review packet 和 exact commit 独立取证。","覆盖E20回退、C0失败、科学判据失败、超时与证据保留后关机。","未开始","未开始","未开始","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E200-v1.md:234","depends_on:GIT-SNAPSHOT-01;review_kind:pre_run;gated_run:SPARSE-E200-S0-R1","TAUSB-SDH-E2E-V0-SPARSE-E200-v1","TAUSB-SDH-E2E-V0-S0-E200-SPARSE","SPARSE-E200-S0-R1","not_applicable","research_workspace/experiments/TAUSB-SDH-E2E-V0-S0-E200-SPARSE/pre_run/PRERUN-REVIEW-01.md","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","REMOTE-SPARSE-E200-01","2026-08-12"
"REMOTE-SPARSE-E200-01","P0","remote","experiment","运行 paired sparse E200 并自动关机","在 passing exact checkout 中复用 frozen P1，数据盘物化M1，串行运行fresh C0/M1 E200与clean VOC20 compare。","首进度、finite loss、GPU process、status建立；两臂E200和20类AP50完成；任何终态先保留证据再自动关机。","remote_cli","autodl-remote-run-snippet","","确认passing pre-run、matching commit、fresh data-disk roots和9小时合同。","核对C0门禁、no-resume、stage caps、总wall、结果保留和shutdown。","未开始","未开始","未开始","未提交","codex","docs/research/specs/TAUSB-SDH-E2E-V0-SPARSE-E200-v1.md:155","depends_on:PRERUN-REVIEW-01;wall_cap_hours:9;preserve_all_terminal_outcomes:true","TAUSB-SDH-E2E-V0-SPARSE-E200-v1","TAUSB-SDH-E2E-V0-S0-E200-SPARSE","SPARSE-E200-S0-R1","not_started","/root/autodl-tmp/tausb-sdh/control/TAUSB-SDH-E2E-V0-S0-E200-SPARSE-R1/controller_status.json","codex/tausb-sdh-lfc-cicr-cgr-nla-map50-v3","","等待 passing pre-run review 与 GPU 模式","2026-08-12"
